Accident_Date,Airline,Severity,Fatalities,Survivors,Aircraft_Type,Accident_Cause,Location,Weather_Condition,Altitude_ft,Speed_knots,Pilot_Experience_Years,Time_of_Accident,Majority_Survivor_Location,Plane_Damage
26/06/2013,Air India,Severe,295,182,Boeing 737,Runway excursion,"Paris, France",Fog,28907,241,28,Night,Front,Partial - High Monetary Damage
02/05/2010,British Airways,Minor,0,129,Airbus A320,Lightning strike,"London, UK",Snow,18870,440,22,Daylight,Back,Full Plane
31/03/2013,Qatar Airways,Severe,178,158,Bombardier CRJ900,Engine failure during takeoff,"São Paulo, Brazil",Thunderstorm,16060,485,38,Daylight,Front,Full Plane
04/08/2013,United,Minor,9,16,Bombardier CRJ900,Fuel exhaustion,"Paris, France",Fog,29093,328,17,Night,Back,Full Plane
28/10/2015,Emirates,Minor,3,296,Embraer 190,Runway excursion,"Sydney, Australia",Fog,842,562,2,Night,Front,Full Plane
26/07/2025,Singapore Airlines,Severe,212,205,Boeing 737,Mid-air collision,"London, UK",Thunderstorm,7750,551,2,Night,Front,Full Plane
16/06/2022,American Airlines,Severe,141,236,Airbus A320,Landing gear malfunction,"London, UK",Clear,19379,140,16,Daylight,Front,Full Plane
07/05/2013,Lufthansa,Minor,1,199,Boeing 777,Landing gear malfunction,"Paris, France",Fog,23117,485,35,Daylight,Front,Partial - High Monetary Damage
19/08/2015,American Airlines,Minor,3,75,Embraer 190,Runway excursion,"Paris, France",Rain,12832,395,7,Daylight,Front,Partial - High Monetary Damage
14/01/2022,Air India,Severe,98,159,Airbus A350,Mid-air collision,"São Paulo, Brazil",Windy,6842,415,33,Daylight,Back,Full Plane
17/03/2022,Lufthansa,Minor,1,73,Bombardier CRJ900,Pilot error,"Tokyo, Japan",Fog,5261,107,2,Night,Back,Full Plane
24/10/2018,Emirates,Minor,5,281,Boeing 747,Runway excursion,"Dubai, UAE",Rain,29580,209,16,Night,Front,Partial - Low Monetary Damage
17/04/2014,Emirates,Severe,166,184,Boeing 777,Bird strike,"Sydney, Australia",Rain,32699,360,27,Night,Front,Partial - High Monetary Damage
01/08/2011,Delta,Severe,197,253,Boeing 777,Landing gear malfunction,"New York, USA",Rain,28043,108,20,Night,Back,Full Plane
25/06/2015,Delta,Minor,2,133,Airbus A380,Runway excursion,"São Paulo, Brazil",Thunderstorm,27572,206,36,Night,Back,Full Plane
08/05/2020,Turkish Airlines,Severe,64,16,Airbus A320,Sabotage,"Toronto, Canada",Rain,28050,268,24,Night,Back,Partial - High Monetary Damage
07/04/2015,American Airlines,Severe,193,158,Embraer 190,Lightning strike,"São Paulo, Brazil",Snow,22281,162,6,Night,Back,Partial - Low Monetary Damage
12/05/2020,United,Minor,2,11,Boeing 747,Lightning strike,"São Paulo, Brazil",Snow,3828,489,3,Night,Front,Partial - Low Monetary Damage
22/09/2011,Delta,Minor,10,189,Embraer 190,Lightning strike,"Dubai, UAE",Clear,22583,469,3,Daylight,Front,Full Plane
25/09/2016,Singapore Airlines,Minor,3,81,Airbus A380,Landing gear malfunction,"São Paulo, Brazil",Rain,11586,473,9,Daylight,Back,Partial - High Monetary Damage
26/03/2018,Delta,Minor,6,248,Boeing 737,Bird strike,"London, UK",Thunderstorm,30862,231,5,Night,Front,Partial - High Monetary Damage
07/12/2010,Delta,Minor,6,238,Boeing 737,Landing gear malfunction,"Mumbai, India",Thunderstorm,27399,538,33,Daylight,Front,Partial - Low Monetary Damage
29/01/2015,Qatar Airways,Severe,71,10,Boeing 747,Lightning strike,"Dubai, UAE",Clear,4384,366,10,Daylight,Back,Full Plane
27/08/2011,Lufthansa,Minor,6,102,Boeing 737,Structural failure,"Toronto, Canada",Thunderstorm,8193,400,20,Night,Back,Partial - High Monetary Damage
19/06/2012,American Airlines,Minor,10,188,Boeing 777,Engine failure during takeoff,"São Paulo, Brazil",Windy,1736,508,5,Daylight,Back,Partial - High Monetary Damage
15/12/2021,Qatar Airways,Minor,2,128,Airbus A380,Runway excursion,"Toronto, Canada",Snow,37715,491,17,Night,Back,Full Plane
16/09/2010,Qatar Airways,Severe,54,236,Embraer 190,Mid-air collision,"Paris, France",Thunderstorm,10493,265,2,Daylight,Back,Partial - High Monetary Damage
07/08/2025,American Airlines,Severe,71,220,Airbus A380,Runway excursion,"New York, USA",Fog,36292,473,35,Night,Front,Partial - High Monetary Damage
03/06/2013,Emirates,Severe,164,194,Embraer 190,Landing gear malfunction,"Beijing, China",Fog,5671,225,6,Daylight,Back,Partial - Low Monetary Damage
13/07/2018,Delta,Minor,2,118,Boeing 777,Runway excursion,"São Paulo, Brazil",Rain,21047,386,29,Night,Front,Full Plane
25/03/2025,United,Severe,200,25,Embraer 190,Runway excursion,"Sydney, Australia",Clear,31246,186,3,Daylight,Back,Full Plane
16/07/2018,Emirates,Minor,5,231,Boeing 747,Runway excursion,"Dubai, UAE",Clear,35877,586,9,Daylight,Back,Full Plane
28/02/2024,Qatar Airways,Severe,237,226,Airbus A380,Controlled flight into terrain,"Mumbai, India",Windy,3600,467,34,Night,Front,Full Plane
04/03/2023,Air India,Minor,1,292,Boeing 737,Lightning strike,"London, UK",Thunderstorm,26658,391,17,Daylight,Back,Full Plane
24/09/2012,Air India,Severe,223,250,Airbus A320,Severe turbulence,"Mumbai, India",Thunderstorm,4861,248,28,Night,Back,Partial - High Monetary Damage
30/11/2015,British Airways,Severe,85,164,Boeing 777,Structural failure,"Dubai, UAE",Rain,3923,257,5,Night,Front,Partial - High Monetary Damage
22/09/2012,Delta,Minor,6,39,Boeing 737,Runway excursion,"London, UK",Clear,10215,137,28,Daylight,Front,Partial - High Monetary Damage
22/07/2023,Delta,Severe,214,0,Boeing 747,Controlled flight into terrain,"Toronto, Canada",Snow,8653,401,36,Daylight,Front,Partial - High Monetary Damage
30/07/2015,Emirates,Severe,265,298,Bombardier CRJ900,Controlled flight into terrain,"Beijing, China",Clear,16115,464,31,Daylight,Back,Full Plane
06/01/2025,Emirates,Minor,6,14,Airbus A320,Controlled flight into terrain,"Sydney, Australia",Thunderstorm,4538,485,35,Daylight,Back,Partial - High Monetary Damage
14/11/2022,United,Severe,64,202,Airbus A380,Structural failure,"Mumbai, India",Windy,7463,162,29,Daylight,Back,Partial - Low Monetary Damage
03/03/2019,United,Severe,275,181,Bombardier CRJ900,Lightning strike,"Paris, France",Clear,25610,232,13,Night,Front,Partial - High Monetary Damage
22/02/2010,Air India,Severe,224,50,Boeing 777,Severe turbulence,"Mumbai, India",Windy,31356,335,12,Night,Back,Full Plane
06/08/2018,Air India,Severe,193,144,Bombardier CRJ900,Fuel exhaustion,"Paris, France",Snow,35854,514,5,Night,Front,Partial - Low Monetary Damage
30/11/2011,American Airlines,Minor,6,11,Airbus A320,Engine failure during takeoff,"Toronto, Canada",Rain,28953,388,19,Daylight,Back,Full Plane
20/07/2010,Turkish Airlines,Minor,9,249,Airbus A320,Fuel exhaustion,"São Paulo, Brazil",Clear,1575,474,37,Daylight,Back,Partial - Low Monetary Damage
01/12/2015,Qatar Airways,Severe,158,86,Bombardier CRJ900,Lightning strike,"New York, USA",Thunderstorm,25321,124,39,Night,Front,Partial - High Monetary Damage
09/03/2020,Delta,Minor,1,116,Airbus A350,Landing gear malfunction,"London, UK",Windy,31314,590,37,Night,Back,Full Plane
28/01/2012,Air India,Minor,1,143,Airbus A350,Bird strike,"São Paulo, Brazil",Fog,28021,285,31,Daylight,Front,Partial - Low Monetary Damage
31/03/2021,Air India,Minor,0,208,Bombardier CRJ900,Fuel exhaustion,"Tokyo, Japan",Windy,13401,219,1,Daylight,Front,Partial - High Monetary Damage
26/09/2022,United,Severe,191,52,Boeing 747,Structural failure,"London, UK",Fog,21974,257,14,Daylight,Back,Partial - High Monetary Damage
13/10/2012,Delta,Minor,4,185,Airbus A350,Severe turbulence,"Mumbai, India",Snow,16126,325,9,Night,Front,Partial - Low Monetary Damage
15/04/2012,British Airways,Minor,0,21,Airbus A350,Lightning strike,"Sydney, Australia",Snow,8879,165,2,Daylight,Back,Full Plane
05/01/2023,British Airways,Minor,10,139,Boeing 777,Structural failure,"Toronto, Canada",Rain,9906,387,18,Night,Front,Full Plane
23/10/2023,American Airlines,Minor,3,60,Boeing 747,Landing gear malfunction,"Paris, France",Clear,13003,222,13,Daylight,Front,Full Plane
22/10/2012,Qatar Airways,Minor,9,32,Airbus A380,Engine failure during takeoff,"Beijing, China",Rain,31869,401,20,Night,Front,Full Plane
27/01/2017,British Airways,Minor,0,255,Airbus A380,Sabotage,"Beijing, China",Rain,8067,283,32,Night,Back,Full Plane
27/06/2018,American Airlines,Minor,9,25,Boeing 737,Lightning strike,"Sydney, Australia",Thunderstorm,35333,551,17,Daylight,Front,Partial - High Monetary Damage
02/10/2024,British Airways,Minor,2,262,Embraer 190,Mid-air collision,"Toronto, Canada",Fog,23313,147,14,Night,Back,Partial - High Monetary Damage
05/03/2025,United,Minor,10,78,Bombardier CRJ900,Bird strike,"London, UK",Rain,38389,590,14,Daylight,Front,Partial - Low Monetary Damage
11/06/2023,Delta,Minor,10,288,Boeing 747,Engine failure during takeoff,"Toronto, Canada",Clear,10178,476,20,Night,Front,Partial - Low Monetary Damage
17/03/2013,United,Minor,10,77,Airbus A350,Severe turbulence,"Toronto, Canada",Snow,4693,309,20,Daylight,Back,Partial - High Monetary Damage
24/10/2016,Emirates,Severe,292,71,Boeing 747,Bird strike,"Sydney, Australia",Clear,9047,342,9,Daylight,Back,Partial - High Monetary Damage
26/11/2020,United,Severe,172,26,Bombardier CRJ900,Landing gear malfunction,"Dubai, UAE",Snow,24808,210,7,Daylight,Back,Full Plane
07/03/2019,Delta,Minor,6,300,Embraer 190,Sabotage,"Tokyo, Japan",Rain,33870,427,3,Daylight,Back,Partial - High Monetary Damage
26/07/2022,British Airways,Minor,7,73,Boeing 737,Fuel exhaustion,"Sydney, Australia",Snow,18643,128,27,Night,Back,Partial - High Monetary Damage
21/05/2022,Turkish Airlines,Minor,3,162,Boeing 747,Structural failure,"Tokyo, Japan",Clear,33595,519,24,Daylight,Back,Partial - High Monetary Damage
03/01/2025,American Airlines,Minor,6,45,Boeing 747,Controlled flight into terrain,"London, UK",Rain,24093,388,5,Night,Front,Partial - Low Monetary Damage
28/09/2014,Turkish Airlines,Severe,55,107,Airbus A320,Runway excursion,"Beijing, China",Rain,27137,269,3,Night,Front,Partial - High Monetary Damage
29/06/2016,American Airlines,Minor,8,14,Boeing 777,Lightning strike,"Paris, France",Snow,14461,473,2,Night,Front,Partial - High Monetary Damage
04/06/2011,United,Minor,6,2,Airbus A380,Runway excursion,"Paris, France",Windy,32635,213,19,Daylight,Back,Full Plane
06/01/2011,Turkish Airlines,Minor,3,91,Airbus A380,Bird strike,"Sydney, Australia",Clear,5491,164,26,Night,Front,Full Plane
11/12/2014,British Airways,Severe,277,299,Airbus A380,Landing gear malfunction,"Dubai, UAE",Windy,5447,436,1,Night,Back,Full Plane
15/11/2015,Air India,Minor,3,182,Bombardier CRJ900,Engine failure during takeoff,"Tokyo, Japan",Windy,18747,473,5,Night,Back,Partial - Low Monetary Damage
06/10/2011,Turkish Airlines,Minor,3,22,Boeing 777,Pilot error,"Tokyo, Japan",Clear,9976,301,1,Night,Front,Partial - Low Monetary Damage
20/04/2016,Emirates,Severe,258,32,Airbus A320,Severe turbulence,"Tokyo, Japan",Rain,39732,352,19,Night,Front,Partial - Low Monetary Damage
03/02/2012,United,Severe,199,47,Airbus A350,Runway excursion,"Beijing, China",Thunderstorm,20418,104,8,Night,Back,Full Plane
11/06/2014,American Airlines,Minor,9,155,Embraer 190,Engine failure during takeoff,"Sydney, Australia",Rain,12619,513,13,Daylight,Back,Full Plane
26/07/2011,American Airlines,Minor,10,225,Embraer 190,Lightning strike,"Sydney, Australia",Rain,1413,384,8,Night,Back,Full Plane
26/07/2021,Delta,Minor,5,131,Embraer 190,Fuel exhaustion,"Beijing, China",Windy,2624,230,16,Daylight,Back,Partial - High Monetary Damage
29/04/2012,British Airways,Severe,61,228,Airbus A350,Bird strike,"Mumbai, India",Snow,1895,542,22,Daylight,Back,Full Plane
27/06/2012,American Airlines,Minor,6,90,Boeing 747,Severe turbulence,"New York, USA",Thunderstorm,16045,361,24,Night,Front,Full Plane
12/08/2022,Emirates,Minor,6,292,Airbus A320,Structural failure,"Tokyo, Japan",Windy,29724,488,22,Daylight,Back,Full Plane
17/03/2024,Delta,Minor,6,28,Airbus A380,Fuel exhaustion,"Tokyo, Japan",Rain,22062,364,30,Daylight,Back,Full Plane
28/04/2012,Qatar Airways,Severe,214,177,Boeing 777,Fuel exhaustion,"Tokyo, Japan",Fog,16099,306,37,Daylight,Front,Full Plane
31/12/2016,Air India,Minor,7,189,Bombardier CRJ900,Runway excursion,"Tokyo, Japan",Snow,37342,517,20,Daylight,Front,Partial - High Monetary Damage
21/03/2010,Emirates,Severe,159,164,Airbus A320,Fuel exhaustion,"New York, USA",Windy,35250,420,9,Night,Back,Partial - High Monetary Damage
01/09/2017,Singapore Airlines,Severe,52,64,Airbus A350,Severe turbulence,"New York, USA",Clear,37001,370,4,Daylight,Front,Partial - High Monetary Damage
05/12/2011,Turkish Airlines,Minor,5,123,Boeing 737,Structural failure,"London, UK",Thunderstorm,9732,483,31,Daylight,Front,Partial - High Monetary Damage
23/08/2025,Turkish Airlines,Minor,5,246,Embraer 190,Structural failure,"New York, USA",Clear,15944,494,10,Daylight,Front,Full Plane
15/10/2025,Lufthansa,Minor,0,258,Embraer 190,Structural failure,"São Paulo, Brazil",Windy,4793,311,9,Daylight,Back,Partial - Low Monetary Damage
12/03/2015,Air India,Severe,184,96,Embraer 190,Pilot error,"Tokyo, Japan",Thunderstorm,13577,527,15,Night,Back,Partial - Low Monetary Damage
06/07/2013,Singapore Airlines,Minor,10,14,Boeing 777,Sabotage,"São Paulo, Brazil",Thunderstorm,9384,509,39,Daylight,Front,Partial - Low Monetary Damage
23/01/2017,Singapore Airlines,Severe,56,129,Embraer 190,Severe turbulence,"Mumbai, India",Clear,17016,269,23,Night,Back,Full Plane
08/04/2024,Turkish Airlines,Minor,10,253,Bombardier CRJ900,Controlled flight into terrain,"Toronto, Canada",Clear,28662,294,28,Night,Front,Full Plane
06/08/2012,Delta,Severe,59,176,Boeing 737,Sabotage,"Paris, France",Rain,22582,452,30,Night,Back,Full Plane
24/12/2019,British Airways,Minor,5,245,Airbus A350,Bird strike,"Tokyo, Japan",Clear,39284,438,9,Daylight,Front,Partial - High Monetary Damage
04/03/2023,Lufthansa,Severe,262,149,Airbus A350,Structural failure,"New York, USA",Snow,32912,176,6,Night,Front,Full Plane
29/12/2024,American Airlines,Minor,0,160,Airbus A320,Pilot error,"São Paulo, Brazil",Fog,24910,403,32,Daylight,Front,Partial - Low Monetary Damage
19/01/2010,Air India,Severe,223,192,Boeing 747,Landing gear malfunction,"Paris, France",Clear,24902,556,25,Daylight,Front,Partial - Low Monetary Damage
12/12/2016,British Airways,Minor,9,278,Airbus A380,Lightning strike,"Mumbai, India",Windy,13676,185,5,Night,Front,Full Plane
29/12/2016,United,Minor,0,144,Bombardier CRJ900,Bird strike,"Dubai, UAE",Rain,8310,288,34,Night,Front,Partial - High Monetary Damage
07/02/2020,Singapore Airlines,Severe,190,145,Bombardier CRJ900,Severe turbulence,"London, UK",Rain,31375,496,39,Daylight,Back,Partial - Low Monetary Damage
12/11/2010,Turkish Airlines,Severe,105,69,Embraer 190,Severe turbulence,"London, UK",Rain,35086,439,36,Daylight,Front,Partial - Low Monetary Damage
08/04/2021,Emirates,Severe,61,195,Airbus A380,Runway excursion,"São Paulo, Brazil",Clear,16898,580,38,Daylight,Front,Partial - High Monetary Damage
06/02/2018,Emirates,Minor,6,118,Embraer 190,Controlled flight into terrain,"Tokyo, Japan",Snow,6768,439,36,Daylight,Front,Full Plane
16/04/2019,United,Severe,210,100,Embraer 190,Controlled flight into terrain,"Sydney, Australia",Rain,32170,373,32,Daylight,Front,Partial - High Monetary Damage
12/01/2010,Singapore Airlines,Minor,9,107,Airbus A380,Runway excursion,"São Paulo, Brazil",Clear,36290,439,36,Daylight,Back,Partial - Low Monetary Damage
04/11/2022,American Airlines,Minor,2,125,Boeing 747,Bird strike,"Beijing, China",Fog,13218,195,30,Night,Front,Partial - High Monetary Damage
01/03/2016,American Airlines,Minor,5,285,Airbus A380,Pilot error,"Beijing, China",Snow,32566,546,32,Night,Front,Partial - Low Monetary Damage
27/01/2011,United,Severe,62,278,Boeing 777,Severe turbulence,"Dubai, UAE",Windy,27048,553,28,Night,Front,Full Plane
01/09/2018,Delta,Severe,227,157,Airbus A350,Lightning strike,"Beijing, China",Snow,22445,181,31,Daylight,Back,Partial - High Monetary Damage
01/03/2020,American Airlines,Minor,9,212,Boeing 777,Sabotage,"Sydney, Australia",Fog,37363,369,29,Daylight,Back,Full Plane
30/03/2012,Air India,Severe,244,175,Airbus A350,Lightning strike,"Beijing, China",Fog,4690,563,24,Night,Back,Full Plane
21/08/2016,Lufthansa,Severe,179,33,Embraer 190,Landing gear malfunction,"São Paulo, Brazil",Clear,22336,184,5,Daylight,Back,Partial - High Monetary Damage
25/10/2024,Air India,Minor,0,292,Airbus A320,Bird strike,"São Paulo, Brazil",Snow,13782,467,14,Daylight,Back,Full Plane
16/04/2021,Qatar Airways,Minor,5,21,Airbus A320,Landing gear malfunction,"Beijing, China",Clear,34327,374,33,Daylight,Back,Partial - Low Monetary Damage
16/04/2020,Emirates,Minor,5,106,Airbus A320,Pilot error,"Tokyo, Japan",Windy,9139,561,31,Daylight,Front,Partial - High Monetary Damage
23/10/2021,Singapore Airlines,Minor,6,148,Airbus A320,Bird strike,"Tokyo, Japan",Fog,2702,100,30,Daylight,Front,Partial - High Monetary Damage
09/10/2014,Lufthansa,Minor,4,287,Boeing 737,Bird strike,"Toronto, Canada",Snow,6176,489,5,Daylight,Front,Partial - Low Monetary Damage
21/07/2011,Singapore Airlines,Minor,4,102,Boeing 777,Bird strike,"Tokyo, Japan",Thunderstorm,6446,491,9,Night,Front,Full Plane
28/06/2010,British Airways,Minor,1,27,Embraer 190,Lightning strike,"Mumbai, India",Thunderstorm,18008,156,14,Night,Back,Full Plane
10/06/2014,British Airways,Minor,9,286,Bombardier CRJ900,Structural failure,"Toronto, Canada",Fog,1987,369,39,Daylight,Back,Partial - High Monetary Damage
06/05/2012,Lufthansa,Minor,9,70,Airbus A320,Fuel exhaustion,"Dubai, UAE",Windy,25417,211,35,Daylight,Front,Full Plane
22/11/2015,Delta,Minor,4,150,Boeing 777,Runway excursion,"São Paulo, Brazil",Windy,23140,178,6,Night,Back,Partial - High Monetary Damage
07/12/2017,American Airlines,Minor,1,45,Boeing 737,Lightning strike,"Mumbai, India",Clear,10726,225,35,Night,Front,Full Plane
28/09/2018,American Airlines,Minor,2,106,Boeing 737,Severe turbulence,"Toronto, Canada",Fog,28047,291,37,Night,Back,Full Plane
05/02/2016,Turkish Airlines,Severe,116,21,Bombardier CRJ900,Structural failure,"Mumbai, India",Snow,25750,207,15,Night,Front,Partial - Low Monetary Damage
22/01/2017,American Airlines,Severe,104,60,Boeing 777,Engine failure during takeoff,"Tokyo, Japan",Rain,19191,121,40,Daylight,Back,Partial - High Monetary Damage
17/08/2020,Delta,Minor,6,216,Boeing 737,Sabotage,"Mumbai, India",Snow,12057,323,30,Night,Front,Partial - High Monetary Damage
22/10/2012,American Airlines,Minor,1,25,Boeing 777,Pilot error,"São Paulo, Brazil",Snow,28251,559,11,Night,Front,Full Plane
03/06/2013,American Airlines,Minor,6,207,Boeing 747,Sabotage,"Dubai, UAE",Thunderstorm,29171,361,3,Night,Back,Full Plane
07/04/2020,Air India,Minor,0,130,Airbus A350,Sabotage,"São Paulo, Brazil",Windy,14439,363,18,Daylight,Back,Partial - High Monetary Damage
11/05/2017,Delta,Minor,5,134,Airbus A350,Fuel exhaustion,"London, UK",Rain,24169,275,33,Daylight,Front,Full Plane
01/11/2024,American Airlines,Minor,0,297,Airbus A320,Pilot error,"Tokyo, Japan",Windy,4168,318,31,Daylight,Back,Full Plane
05/08/2020,Emirates,Minor,2,21,Boeing 737,Bird strike,"New York, USA",Windy,9469,374,15,Daylight,Front,Full Plane
14/06/2023,Delta,Minor,9,103,Boeing 777,Severe turbulence,"Dubai, UAE",Windy,31971,472,3,Night,Back,Partial - Low Monetary Damage
11/01/2016,British Airways,Severe,212,187,Boeing 747,Runway excursion,"Dubai, UAE",Clear,11998,252,18,Night,Front,Full Plane
24/03/2011,British Airways,Minor,9,289,Airbus A350,Fuel exhaustion,"London, UK",Windy,18327,448,24,Night,Front,Partial - High Monetary Damage
16/03/2020,Emirates,Minor,9,124,Airbus A320,Controlled flight into terrain,"Toronto, Canada",Thunderstorm,20704,582,8,Night,Back,Full Plane
03/01/2016,Singapore Airlines,Minor,0,148,Boeing 737,Pilot error,"Tokyo, Japan",Snow,22637,525,38,Daylight,Back,Partial - High Monetary Damage
12/08/2010,Singapore Airlines,Minor,7,60,Airbus A320,Fuel exhaustion,"Toronto, Canada",Snow,14457,316,17,Daylight,Back,Partial - High Monetary Damage
28/12/2014,Emirates,Minor,6,248,Boeing 737,Structural failure,"São Paulo, Brazil",Clear,16312,348,21,Daylight,Back,Full Plane
26/10/2014,Delta,Minor,1,247,Boeing 737,Engine failure during takeoff,"Tokyo, Japan",Fog,32047,564,22,Night,Back,Full Plane
02/02/2020,Turkish Airlines,Minor,9,99,Airbus A380,Fuel exhaustion,"London, UK",Thunderstorm,23948,309,33,Daylight,Back,Full Plane
16/12/2015,Turkish Airlines,Severe,80,104,Boeing 777,Landing gear malfunction,"Dubai, UAE",Rain,25706,427,27,Daylight,Front,Partial - High Monetary Damage
17/10/2015,Qatar Airways,Minor,10,145,Embraer 190,Runway excursion,"Beijing, China",Fog,20579,353,33,Night,Back,Full Plane
13/11/2023,Singapore Airlines,Minor,8,119,Bombardier CRJ900,Bird strike,"São Paulo, Brazil",Snow,25290,357,6,Daylight,Front,Full Plane
27/01/2024,Singapore Airlines,Severe,78,21,Airbus A320,Engine failure during takeoff,"São Paulo, Brazil",Windy,30753,109,30,Daylight,Front,Full Plane
09/01/2023,Lufthansa,Severe,239,232,Boeing 747,Lightning strike,"Paris, France",Rain,26917,412,15,Night,Front,Partial - High Monetary Damage
05/10/2023,American Airlines,Minor,4,56,Boeing 747,Bird strike,"Tokyo, Japan",Clear,17051,585,18,Night,Front,Full Plane
12/10/2021,Air India,Minor,9,280,Airbus A320,Bird strike,"Toronto, Canada",Thunderstorm,34664,304,8,Daylight,Back,Full Plane
02/02/2020,Air India,Minor,8,77,Boeing 747,Fuel exhaustion,"London, UK",Rain,28920,242,35,Night,Back,Partial - Low Monetary Damage
31/01/2010,Emirates,Minor,3,51,Boeing 777,Structural failure,"Toronto, Canada",Windy,33509,265,36,Daylight,Front,Partial - High Monetary Damage
22/07/2023,Lufthansa,Severe,155,272,Airbus A320,Engine failure during takeoff,"New York, USA",Thunderstorm,19235,510,2,Daylight,Front,Full Plane
25/02/2015,American Airlines,Minor,7,81,Bombardier CRJ900,Sabotage,"Mumbai, India",Windy,38579,382,32,Daylight,Front,Partial - High Monetary Damage
16/07/2015,Air India,Minor,8,47,Boeing 747,Lightning strike,"Tokyo, Japan",Snow,27909,212,38,Daylight,Back,Partial - High Monetary Damage
25/08/2023,Singapore Airlines,Severe,117,196,Boeing 777,Engine failure during takeoff,"São Paulo, Brazil",Fog,10468,345,26,Night,Back,Partial - High Monetary Damage
22/05/2012,Turkish Airlines,Minor,9,8,Airbus A320,Sabotage,"Beijing, China",Fog,10792,598,20,Night,Back,Partial - High Monetary Damage
18/11/2025,Turkish Airlines,Severe,53,222,Bombardier CRJ900,Engine failure during takeoff,"Beijing, China",Windy,18263,237,3,Daylight,Front,Partial - High Monetary Damage
17/02/2015,American Airlines,Minor,3,96,Airbus A380,Severe turbulence,"Mumbai, India",Fog,37863,475,16,Night,Front,Full Plane
26/10/2018,Air India,Severe,84,291,Boeing 747,Controlled flight into terrain,"London, UK",Rain,18872,243,7,Night,Back,Partial - Low Monetary Damage
17/10/2023,American Airlines,Minor,1,84,Boeing 737,Landing gear malfunction,"Beijing, China",Windy,24091,394,23,Night,Front,Partial - High Monetary Damage
24/06/2016,Delta,Minor,7,112,Embraer 190,Mid-air collision,"Paris, France",Thunderstorm,7884,266,32,Night,Back,Partial - High Monetary Damage
30/12/2011,Delta,Minor,7,34,Airbus A350,Sabotage,"Sydney, Australia",Fog,1420,525,21,Daylight,Front,Partial - Low Monetary Damage
03/03/2014,Lufthansa,Minor,4,270,Boeing 777,Fuel exhaustion,"Toronto, Canada",Fog,20108,394,33,Night,Front,Full Plane
18/02/2024,Emirates,Severe,194,192,Bombardier CRJ900,Landing gear malfunction,"Dubai, UAE",Clear,26659,343,22,Daylight,Back,Partial - Low Monetary Damage
27/01/2019,Air India,Minor,1,236,Bombardier CRJ900,Pilot error,"São Paulo, Brazil",Fog,9049,271,40,Daylight,Back,Partial - High Monetary Damage
27/09/2016,Air India,Severe,299,266,Airbus A350,Engine failure during takeoff,"Sydney, Australia",Snow,20637,175,13,Daylight,Back,Partial - Low Monetary Damage
04/08/2011,Qatar Airways,Severe,80,58,Boeing 747,Structural failure,"São Paulo, Brazil",Thunderstorm,380,140,37,Night,Back,Full Plane
05/02/2010,Singapore Airlines,Severe,246,43,Boeing 747,Bird strike,"London, UK",Rain,27084,218,7,Night,Front,Partial - High Monetary Damage
23/08/2018,Singapore Airlines,Severe,172,13,Embraer 190,Mid-air collision,"London, UK",Rain,37918,282,35,Night,Front,Partial - High Monetary Damage
19/05/2010,Air India,Minor,6,278,Embraer 190,Bird strike,"Dubai, UAE",Clear,8494,425,21,Daylight,Back,Partial - Low Monetary Damage
11/01/2015,Delta,Minor,7,31,Airbus A380,Pilot error,"Paris, France",Snow,37190,202,16,Night,Back,Partial - High Monetary Damage
06/10/2013,Emirates,Minor,5,78,Boeing 747,Structural failure,"New York, USA",Snow,27446,141,26,Daylight,Back,Full Plane
27/07/2019,United,Minor,5,120,Airbus A350,Bird strike,"Paris, France",Clear,21429,580,9,Daylight,Back,Partial - Low Monetary Damage
11/02/2020,American Airlines,Minor,0,277,Airbus A380,Runway excursion,"São Paulo, Brazil",Thunderstorm,25105,344,3,Night,Back,Partial - High Monetary Damage
12/11/2017,United,Minor,10,285,Airbus A380,Bird strike,"São Paulo, Brazil",Thunderstorm,34985,265,24,Night,Front,Partial - Low Monetary Damage
30/03/2015,British Airways,Minor,0,123,Bombardier CRJ900,Runway excursion,"Mumbai, India",Clear,21876,559,18,Daylight,Front,Full Plane
20/06/2011,Delta,Minor,4,204,Boeing 777,Lightning strike,"Sydney, Australia",Snow,7199,276,20,Night,Front,Full Plane
06/10/2025,Qatar Airways,Minor,3,295,Boeing 777,Fuel exhaustion,"São Paulo, Brazil",Windy,9371,450,39,Night,Back,Partial - High Monetary Damage
27/06/2024,Turkish Airlines,Minor,7,245,Boeing 737,Sabotage,"London, UK",Snow,3554,503,13,Daylight,Back,Partial - Low Monetary Damage
26/06/2022,Lufthansa,Minor,5,3,Airbus A320,Pilot error,"London, UK",Snow,27636,463,16,Night,Back,Partial - High Monetary Damage
08/01/2011,Lufthansa,Minor,10,71,Boeing 737,Engine failure during takeoff,"Tokyo, Japan",Thunderstorm,8282,268,38,Daylight,Front,Full Plane
19/10/2017,Delta,Minor,3,182,Airbus A320,Engine failure during takeoff,"Paris, France",Clear,29314,407,12,Daylight,Back,Partial - High Monetary Damage
19/12/2020,British Airways,Minor,1,230,Boeing 777,Severe turbulence,"Tokyo, Japan",Snow,27386,421,29,Daylight,Front,Full Plane
23/11/2018,Lufthansa,Minor,5,162,Airbus A320,Structural failure,"Toronto, Canada",Fog,32256,181,6,Daylight,Back,Full Plane
